instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
3,4,10,BackTracking,U,2.5917019229382277e-05,{}
4,4,10,BackTracking,S,9.08400397747755e-06,"{1: True, 2: True, 3: True, 4: False}"
5,4,10,BackTracking,S,8.583010639995337e-06,"{1: False, 2: False, 3: True, 4: True}"
